GEOID,GEOID_2,Block Group,Tract,County,Total Population,Millennial Population,Pct,Year
080050833001,15000US080050833001,Block Group 1, Census Tract 833, Arapahoe County,889,170,0.191226097,2013
080050833002,15000US080050833002,Block Group 2, Census Tract 833, Arapahoe County,1618,394,0.243510507,2013
080050833003,15000US080050833003,Block Group 3, Census Tract 833, Arapahoe County,1926,533,0.276739356,2013
080050834001,15000US080050834001,Block Group 1, Census Tract 834, Arapahoe County,2340,711,0.303846154,2013
080050834002,15000US080050834002,Block Group 2, Census Tract 834, Arapahoe County,2271,591,0.260237781,2013
080050834003,15000US080050834003,Block Group 3, Census Tract 834, Arapahoe County,1853,492,0.26551538,2013
080050835001,15000US080050835001,Block Group 1, Census Tract 835, Arapahoe County,860,170,0.197674419,2013
080050835002,15000US080050835002,Block Group 2, Census Tract 835, Arapahoe County,684,157,0.229532164,2013
080050835003,15000US080050835003,Block Group 3, Census Tract 835, Arapahoe County,826,204,0.246973366,2013
080050835004,15000US080050835004,Block Group 4, Census Tract 835, Arapahoe County,2319,771,0.332470893,2013
080050835005,15000US080050835005,Block Group 5, Census Tract 835, Arapahoe County,852,106,0.124413146,2013
080050836001,15000US080050836001,Block Group 1, Census Tract 836, Arapahoe County,1499,476,0.31754503,2013
080050836002,15000US080050836002,Block Group 2, Census Tract 836, Arapahoe County,1469,451,0.307011572,2013
080050836003,15000US080050836003,Block Group 3, Census Tract 836, Arapahoe County,570,153,0.268421053,2013
080050837001,15000US080050837001,Block Group 1, Census Tract 837, Arapahoe County,1398,133,0.095135908,2013
080050837002,15000US080050837002,Block Group 2, Census Tract 837, Arapahoe County,2816,520,0.184659091,2013
080050838001,15000US080050838001,Block Group 1, Census Tract 838, Arapahoe County,1373,437,0.318281136,2013
080050838002,15000US080050838002,Block Group 2, Census Tract 838, Arapahoe County,710,90,0.126760563,2013
080050838003,15000US080050838003,Block Group 3, Census Tract 838, Arapahoe County,519,40,0.077071291,2013
080050839001,15000US080050839001,Block Group 1, Census Tract 839, Arapahoe County,1714,489,0.28529755,2013
080050839002,15000US080050839002,Block Group 2, Census Tract 839, Arapahoe County,1203,273,0.226932668,2013
080050840001,15000US080050840001,Block Group 1, Census Tract 840, Arapahoe County,999,271,0.271271271,2013
080050840002,15000US080050840002,Block Group 2, Census Tract 840, Arapahoe County,724,184,0.254143646,2013
080050840003,15000US080050840003,Block Group 3, Census Tract 840, Arapahoe County,849,224,0.263839812,2013
080050841001,15000US080050841001,Block Group 1, Census Tract 841, Arapahoe County,1154,194,0.168110919,2013
080050841002,15000US080050841002,Block Group 2, Census Tract 841, Arapahoe County,1619,406,0.250772082,2013
080050841003,15000US080050841003,Block Group 3, Census Tract 841, Arapahoe County,1634,304,0.186046512,2013
080050842001,15000US080050842001,Block Group 1, Census Tract 842, Arapahoe County,1675,440,0.262686567,2013
080050842002,15000US080050842002,Block Group 2, Census Tract 842, Arapahoe County,1031,219,0.212415131,2013
080050842003,15000US080050842003,Block Group 3, Census Tract 842, Arapahoe County,1243,355,0.285599356,2013
080050843001,15000US080050843001,Block Group 1, Census Tract 843, Arapahoe County,2561,448,0.174931667,2013
080050843002,15000US080050843002,Block Group 2, Census Tract 843, Arapahoe County,923,195,0.211267606,2013
080050844001,15000US080050844001,Block Group 1, Census Tract 844, Arapahoe County,2017,480,0.237977194,2013
080050844002,15000US080050844002,Block Group 2, Census Tract 844, Arapahoe County,1057,215,0.203405866,2013
080050845001,15000US080050845001,Block Group 1, Census Tract 845, Arapahoe County,1108,201,0.181407942,2013
080050845002,15000US080050845002,Block Group 2, Census Tract 845, Arapahoe County,1513,587,0.387970919,2013
080050846001,15000US080050846001,Block Group 1, Census Tract 846, Arapahoe County,886,255,0.287810384,2013
080050846002,15000US080050846002,Block Group 2, Census Tract 846, Arapahoe County,784,206,0.262755102,2013
080050846003,15000US080050846003,Block Group 3, Census Tract 846, Arapahoe County,995,256,0.257286432,2013
080050846004,15000US080050846004,Block Group 4, Census Tract 846, Arapahoe County,2793,746,0.267096312,2013
080050847001,15000US080050847001,Block Group 1, Census Tract 847, Arapahoe County,1209,316,0.261373036,2013
080050847002,15000US080050847002,Block Group 2, Census Tract 847, Arapahoe County,1109,145,0.130748422,2013
080050847003,15000US080050847003,Block Group 3, Census Tract 847, Arapahoe County,497,32,0.064386318,2013
080050847004,15000US080050847004,Block Group 4, Census Tract 847, Arapahoe County,2043,533,0.260890847,2013
080050848001,15000US080050848001,Block Group 1, Census Tract 848, Arapahoe County,1358,528,0.388807069,2013
080050848002,15000US080050848002,Block Group 2, Census Tract 848, Arapahoe County,1790,354,0.197765363,2013
080050848003,15000US080050848003,Block Group 3, Census Tract 848, Arapahoe County,671,245,0.365126677,2013
080050849001,15000US080050849001,Block Group 1, Census Tract 849, Arapahoe County,1535,249,0.162214984,2013
080050849002,15000US080050849002,Block Group 2, Census Tract 849, Arapahoe County,1594,255,0.159974906,2013
080050850001,15000US080050850001,Block Group 1, Census Tract 850, Arapahoe County,1589,448,0.281938326,2013
080050851001,15000US080050851001,Block Group 1, Census Tract 851, Arapahoe County,2081,364,0.174915906,2013
080050851002,15000US080050851002,Block Group 2, Census Tract 851, Arapahoe County,1937,138,0.071244192,2013
080050851003,15000US080050851003,Block Group 3, Census Tract 851, Arapahoe County,2675,205,0.076635514,2013
080050852001,15000US080050852001,Block Group 1, Census Tract 852, Arapahoe County,1222,137,0.112111293,2013
080050852002,15000US080050852002,Block Group 2, Census Tract 852, Arapahoe County,1694,175,0.103305785,2013
080050853001,15000US080050853001,Block Group 1, Census Tract 853, Arapahoe County,2211,430,0.194482135,2013
080050854001,15000US080050854001,Block Group 1, Census Tract 854, Arapahoe County,1458,167,0.114540466,2013
080050854002,15000US080050854002,Block Group 2, Census Tract 854, Arapahoe County,1882,383,0.203506908,2013
080050854003,15000US080050854003,Block Group 3, Census Tract 854, Arapahoe County,1396,332,0.23782235,2013
080050855001,15000US080050855001,Block Group 1, Census Tract 855, Arapahoe County,1748,373,0.213386728,2013
080050855002,15000US080050855002,Block Group 2, Census Tract 855, Arapahoe County,2068,311,0.150386847,2013
080050855003,15000US080050855003,Block Group 3, Census Tract 855, Arapahoe County,1287,314,0.243978244,2013
080050856001,15000US080050856001,Block Group 1, Census Tract 856, Arapahoe County,1904,261,0.137079832,2013
080050856002,15000US080050856002,Block Group 2, Census Tract 856, Arapahoe County,1521,131,0.086127548,2013
080050857001,15000US080050857001,Block Group 1, Census Tract 857, Arapahoe County,1798,461,0.256395996,2013
080050857002,15000US080050857002,Block Group 2, Census Tract 857, Arapahoe County,966,249,0.257763975,2013
080050857003,15000US080050857003,Block Group 3, Census Tract 857, Arapahoe County,1033,285,0.27589545,2013
080050857004,15000US080050857004,Block Group 4, Census Tract 857, Arapahoe County,787,233,0.296060991,2013
080050858001,15000US080050858001,Block Group 1, Census Tract 858, Arapahoe County,1704,370,0.21713615,2013
080050859001,15000US080050859001,Block Group 1, Census Tract 859, Arapahoe County,1286,288,0.223950233,2013
080050859002,15000US080050859002,Block Group 2, Census Tract 859, Arapahoe County,2007,365,0.181863478,2013
080050860001,15000US080050860001,Block Group 1, Census Tract 860, Arapahoe County,2877,472,0.164059784,2013
080050860002,15000US080050860002,Block Group 2, Census Tract 860, Arapahoe County,1464,297,0.202868852,2013
080050860003,15000US080050860003,Block Group 3, Census Tract 860, Arapahoe County,2828,469,0.165841584,2013
080050860004,15000US080050860004,Block Group 4, Census Tract 860, Arapahoe County,990,208,0.21010101,2013
080050861001,15000US080050861001,Block Group 1, Census Tract 861, Arapahoe County,1745,445,0.255014327,2013
080050861002,15000US080050861002,Block Group 2, Census Tract 861, Arapahoe County,1832,476,0.259825328,2013
080050861003,15000US080050861003,Block Group 3, Census Tract 861, Arapahoe County,1202,341,0.283693844,2013
080050862001,15000US080050862001,Block Group 1, Census Tract 862, Arapahoe County,2132,465,0.218105066,2013
080050862002,15000US080050862002,Block Group 2, Census Tract 862, Arapahoe County,1410,427,0.302836879,2013
080050862003,15000US080050862003,Block Group 3, Census Tract 862, Arapahoe County,2633,536,0.203570072,2013
080050863001,15000US080050863001,Block Group 1, Census Tract 863, Arapahoe County,768,90,0.1171875,2013
080050863002,15000US080050863002,Block Group 2, Census Tract 863, Arapahoe County,2184,906,0.414835165,2013
080050863003,15000US080050863003,Block Group 3, Census Tract 863, Arapahoe County,770,184,0.238961039,2013
080050864001,15000US080050864001,Block Group 1, Census Tract 864, Arapahoe County,1626,231,0.142066421,2013
080050864002,15000US080050864002,Block Group 2, Census Tract 864, Arapahoe County,550,45,0.081818182,2013
080050865001,15000US080050865001,Block Group 1, Census Tract 865, Arapahoe County,1810,736,0.406629834,2013
080050865002,15000US080050865002,Block Group 2, Census Tract 865, Arapahoe County,2482,306,0.123287671,2013
080050865003,15000US080050865003,Block Group 3, Census Tract 865, Arapahoe County,493,101,0.204868154,2013
080050866001,15000US080050866001,Block Group 1, Census Tract 866, Arapahoe County,2297,66,0.02873313,2013
080050866002,15000US080050866002,Block Group 2, Census Tract 866, Arapahoe County,2228,508,0.228007181,2013
080050867001,15000US080050867001,Block Group 1, Census Tract 867, Arapahoe County,2892,165,0.057053942,2013
080050867002,15000US080050867002,Block Group 2, Census Tract 867, Arapahoe County,793,56,0.070617907,2013
080050868001,15000US080050868001,Block Group 1, Census Tract 868, Arapahoe County,1113,561,0.504043127,2013
080050868002,15000US080050868002,Block Group 2, Census Tract 868, Arapahoe County,2180,769,0.352752294,2013
080050868003,15000US080050868003,Block Group 3, Census Tract 868, Arapahoe County,1371,683,0.498176513,2013
080050868004,15000US080050868004,Block Group 4, Census Tract 868, Arapahoe County,776,131,0.168814433,2013
080050869001,15000US080050869001,Block Group 1, Census Tract 869, Arapahoe County,1437,262,0.182324287,2013
080050869002,15000US080050869002,Block Group 2, Census Tract 869, Arapahoe County,1734,655,0.377739331,2013
080050870001,15000US080050870001,Block Group 1, Census Tract 870, Arapahoe County,1181,430,0.364098222,2013
080050870002,15000US080050870002,Block Group 2, Census Tract 870, Arapahoe County,899,360,0.400444939,2013
080050870003,15000US080050870003,Block Group 3, Census Tract 870, Arapahoe County,2645,1172,0.443100189,2013
080050871001,15000US080050871001,Block Group 1, Census Tract 871, Arapahoe County,1422,621,0.436708861,2013
080050871002,15000US080050871002,Block Group 2, Census Tract 871, Arapahoe County,1058,56,0.052930057,2013
080050872001,15000US080050872001,Block Group 1, Census Tract 872, Arapahoe County,1237,525,0.424413905,2013
080050872002,15000US080050872002,Block Group 2, Census Tract 872, Arapahoe County,1077,88,0.081708449,2013
080050872003,15000US080050872003,Block Group 3, Census Tract 872, Arapahoe County,1668,504,0.302158273,2013
080050873001,15000US080050873001,Block Group 1, Census Tract 873, Arapahoe County,1979,1075,0.543203638,2013
080050873002,15000US080050873002,Block Group 2, Census Tract 873, Arapahoe County,2075,961,0.46313253,2013
080050873003,15000US080050873003,Block Group 3, Census Tract 873, Arapahoe County,487,66,0.135523614,2013
080050873004,15000US080050873004,Block Group 4, Census Tract 873, Arapahoe County,1463,459,0.313738893,2013
080050873005,15000US080050873005,Block Group 5, Census Tract 873, Arapahoe County,1307,298,0.22800306,2013
080079404001,15000US080079404001,Block Group 1, Census Tract 9404, Archuleta County,816,152,0.18627451,2013
080079404002,15000US080079404002,Block Group 2, Census Tract 9404, Archuleta County,643,143,0.222395023,2013
080079742001,15000US080079742001,Block Group 1, Census Tract 9742, Archuleta County,1567,59,0.037651563,2013
080079742002,15000US080079742002,Block Group 2, Census Tract 9742, Archuleta County,1214,186,0.153212521,2013
080079742003,15000US080079742003,Block Group 3, Census Tract 9742, Archuleta County,2541,492,0.193624557,2013
080079743001,15000US080079743001,Block Group 1, Census Tract 9743, Archuleta County,535,21,0.039252336,2013
080079743002,15000US080079743002,Block Group 2, Census Tract 9743, Archuleta County,1345,237,0.176208178,2013
080079743003,15000US080079743003,Block Group 3, Census Tract 9743, Archuleta County,1476,236,0.159891599,2013
080079744001,15000US080079744001,Block Group 1, Census Tract 9744, Archuleta County,1074,135,0.125698324,2013
080079744002,15000US080079744002,Block Group 2, Census Tract 9744, Archuleta County,898,192,0.213808463,2013
080099646001,15000US080099646001,Block Group 1, Census Tract 9646, Baca County,727,128,0.176066025,2013
080099646002,15000US080099646002,Block Group 2, Census Tract 9646, Baca County,1002,137,0.136726547,2013
080099647001,15000US080099647001,Block Group 1, Census Tract 9647, Baca County,1018,143,0.140471513,2013
080099647002,15000US080099647002,Block Group 2, Census Tract 9647, Baca County,1014,159,0.156804734,2013
080119667001,15000US080119667001,Block Group 1, Census Tract 9667, Bent County,1237,148,0.119644301,2013
080119667002,15000US080119667002,Block Group 2, Census Tract 9667, Bent County,1124,248,0.220640569,2013
080119667003,15000US080119667003,Block Group 3, Census Tract 9667, Bent County,897,211,0.23522854,2013
080119667004,15000US080119667004,Block Group 4, Census Tract 9667, Bent County,735,173,0.23537415,2013
080119667005,15000US080119667005,Block Group 5, Census Tract 9667, Bent County,2148,618,0.287709497,2013
080130121011,15000US080130121011,Block Group 1, Census Tract 121.01, Boulder County,1032,183,0.177325581,2013
080130121012,15000US080130121012,Block Group 2, Census Tract 121.01, Boulder County,1628,26,0.015970516,2013
080130121013,15000US080130121013,Block Group 3, Census Tract 121.01, Boulder County,1091,278,0.254812099,2013
080130121014,15000US080130121014,Block Group 4, Census Tract 121.01, Boulder County,1171,329,0.280956447,2013
080130121021,15000US080130121021,Block Group 1, Census Tract 121.02, Boulder County,1682,638,0.379310345,2013
080130121022,15000US080130121022,Block Group 2, Census Tract 121.02, Boulder County,1635,535,0.327217125,2013
080130121023,15000US080130121023,Block Group 3, Census Tract 121.02, Boulder County,1291,483,0.374128582,2013
080130121024,15000US080130121024,Block Group 4, Census Tract 121.02, Boulder County,1425,318,0.223157895,2013
080130121025,15000US080130121025,Block Group 5, Census Tract 121.02, Boulder County,1118,108,0.096601073,2013
080130121031,15000US080130121031,Block Group 1, Census Tract 121.03, Boulder County,954,80,0.083857442,2013
080130121032,15000US080130121032,Block Group 2, Census Tract 121.03, Boulder County,960,72,0.075,2013
080130121033,15000US080130121033,Block Group 3, Census Tract 121.03, Boulder County,1781,848,0.476137002,2013
080130121041,15000US080130121041,Block Group 1, Census Tract 121.04, Boulder County,1211,200,0.165152766,2013
080130121042,15000US080130121042,Block Group 2, Census Tract 121.04, Boulder County,1147,88,0.076721883,2013
080130121051,15000US080130121051,Block Group 1, Census Tract 121.05, Boulder County,856,143,0.167056075,2013
080130121052,15000US080130121052,Block Group 2, Census Tract 121.05, Boulder County,2416,676,0.279801325,2013
080130121053,15000US080130121053,Block Group 3, Census Tract 121.05, Boulder County,1242,218,0.175523349,2013
080130121054,15000US080130121054,Block Group 4, Census Tract 121.05, Boulder County,1118,179,0.160107335,2013
080130122011,15000US080130122011,Block Group 1, Census Tract 122.01, Boulder County,769,483,0.628088427,2013
080130122012,15000US080130122012,Block Group 2, Census Tract 122.01, Boulder County,1580,906,0.573417722,2013
080130122013,15000US080130122013,Block Group 3, Census Tract 122.01, Boulder County,1206,126,0.104477612,2013
080130122021,15000US080130122021,Block Group 1, Census Tract 122.02, Boulder County,1430,730,0.51048951,2013
080130122022,15000US080130122022,Block Group 2, Census Tract 122.02, Boulder County,1742,1193,0.684845006,2013
080130122023,15000US080130122023,Block Group 3, Census Tract 122.02, Boulder County,2180,1872,0.858715596,2013
080130122024,15000US080130122024,Block Group 4, Census Tract 122.02, Boulder County,853,615,0.72098476,2013
080130122031,15000US080130122031,Block Group 1, Census Tract 122.03, Boulder County,1344,367,0.273065476,2013
080130122032,15000US080130122032,Block Group 2, Census Tract 122.03, Boulder County,2515,697,0.277137177,2013
080130122033,15000US080130122033,Block Group 3, Census Tract 122.03, Boulder County,1970,940,0.47715736,2013
080130122034,15000US080130122034,Block Group 4, Census Tract 122.03, Boulder County,662,426,0.643504532,2013
080130122041,15000US080130122041,Block Group 1, Census Tract 122.04, Boulder County,902,473,0.524390244,2013
080130122042,15000US080130122042,Block Group 2, Census Tract 122.04, Boulder County,1453,1291,0.888506538,2013
080130122043,15000US080130122043,Block Group 3, Census Tract 122.04, Boulder County,1014,555,0.547337278,2013
080130123001,15000US080130123001,Block Group 1, Census Tract 123, Boulder County,4952,4795,0.968295638,2013
080130123002,15000US080130123002,Block Group 2, Census Tract 123, Boulder County,1840,1298,0.705434783,2013
080130124011,15000US080130124011,Block Group 1, Census Tract 124.01, Boulder County,1380,1291,0.935507246,2013
080130124012,15000US080130124012,Block Group 2, Census Tract 124.01, Boulder County,1689,1552,0.918886915,2013
080130124013,15000US080130124013,Block Group 3, Census Tract 124.01, Boulder County,1126,358,0.317939609,2013
080130124014,15000US080130124014,Block Group 4, Census Tract 124.01, Boulder County,1779,1582,0.889263631,2013
080130125011,15000US080130125011,Block Group 1, Census Tract 125.01, Boulder County,1623,679,0.41836106,2013
080130125012,15000US080130125012,Block Group 2, Census Tract 125.01, Boulder County,765,140,0.183006536,2013
080130125051,15000US080130125051,Block Group 1, Census Tract 125.05, Boulder County,709,140,0.197461213,2013
080130125052,15000US080130125052,Block Group 2, Census Tract 125.05, Boulder County,2823,718,0.254339355,2013
080130125053,15000US080130125053,Block Group 3, Census Tract 125.05, Boulder County,631,52,0.082408875,2013
080130125071,15000US080130125071,Block Group 1, Census Tract 125.07, Boulder County,1172,437,0.372866894,2013
080130125072,15000US080130125072,Block Group 2, Census Tract 125.07, Boulder County,2090,1414,0.676555024,2013
080130125073,15000US080130125073,Block Group 3, Census Tract 125.07, Boulder County,1169,588,0.502994012,2013
080130125081,15000US080130125081,Block Group 1, Census Tract 125.08, Boulder County,840,271,0.322619048,2013
080130125082,15000US080130125082,Block Group 2, Census Tract 125.08, Boulder County,1119,614,0.5487042,2013
080130125083,15000US080130125083,Block Group 3, Census Tract 125.08, Boulder County,985,646,0.655837563,2013
080130125091,15000US080130125091,Block Group 1, Census Tract 125.09, Boulder County,735,209,0.284353741,2013
080130125092,15000US080130125092,Block Group 2, Census Tract 125.09, Boulder County,1910,580,0.303664921,2013
080130125093,15000US080130125093,Block Group 3, Census Tract 125.09, Boulder County,753,7,0.009296149,2013
080130125101,15000US080130125101,Block Group 1, Census Tract 125.10, Boulder County,535,68,0.127102804,2013
080130125102,15000US080130125102,Block Group 2, Census Tract 125.10, Boulder County,1369,154,0.112490869,2013
080130125103,15000US080130125103,Block Group 3, Census Tract 125.10, Boulder County,1948,323,0.165811088,2013
080130125104,15000US080130125104,Block Group 4, Census Tract 125.10, Boulder County,778,64,0.082262211,2013
080130125111,15000US080130125111,Block Group 1, Census Tract 125.11, Boulder County,1922,830,0.431841831,2013
080130125112,15000US080130125112,Block Group 2, Census Tract 125.11, Boulder County,1681,370,0.220107079,2013
080130125113,15000US080130125113,Block Group 3, Census Tract 125.11, Boulder County,1777,1739,0.978615644,2013
080130126031,15000US080130126031,Block Group 1, Census Tract 126.03, Boulder County,2127,680,0.319699107,2013
080130126032,15000US080130126032,Block Group 2, Census Tract 126.03, Boulder County,1020,184,0.180392157,2013
080130126051,15000US080130126051,Block Group 1, Census Tract 126.05, Boulder County,668,397,0.594311377,2013
080130126052,15000US080130126052,Block Group 2, Census Tract 126.05, Boulder County,822,681,0.828467153,2013
080130126071,15000US080130126071,Block Group 1, Census Tract 126.07, Boulder County,847,443,0.523022432,2013
080130126072,15000US080130126072,Block Group 2, Census Tract 126.07, Boulder County,1183,1016,0.858833474,2013
080130126073,15000US080130126073,Block Group 3, Census Tract 126.07, Boulder County,966,839,0.868530021,2013
080130126074,15000US080130126074,Block Group 4, Census Tract 126.07, Boulder County,1515,1368,0.902970297,2013
080130126081,15000US080130126081,Block Group 1, Census Tract 126.08, Boulder County,2705,1287,0.475785582,2013
080130127011,15000US080130127011,Block Group 1, Census Tract 127.01, Boulder County,496,50,0.100806452,2013
080130127012,15000US080130127012,Block Group 2, Census Tract 127.01, Boulder County,1374,218,0.158660844,2013
080130127013,15000US080130127013,Block Group 3, Census Tract 127.01, Boulder County,2210,304,0.137556561,2013
080130127014,15000US080130127014,Block Group 4, Census Tract 127.01, Boulder County,1348,473,0.350890208,2013
080130127051,15000US080130127051,Block Group 1, Census Tract 127.05, Boulder County,1422,857,0.602672293,2013
080130127052,15000US080130127052,Block Group 2, Census Tract 127.05, Boulder County,1896,629,0.331751055,2013
080130127053,15000US080130127053,Block Group 3, Census Tract 127.05, Boulder County,470,44,0.093617021,2013
080130127071,15000US080130127071,Block Group 1, Census Tract 127.07, Boulder County,1658,490,0.295536791,2013
080130127072,15000US080130127072,Block Group 2, Census Tract 127.07, Boulder County,956,155,0.162133891,2013
080130127081,15000US080130127081,Block Group 1, Census Tract 127.08, Boulder County,1359,289,0.212656365,2013
080130127082,15000US080130127082,Block Group 2, Census Tract 127.08, Boulder County,737,48,0.065128901,2013
080130127083,15000US080130127083,Block Group 3, Census Tract 127.08, Boulder County,2373,288,0.12136536,2013
080130127084,15000US080130127084,Block Group 4, Census Tract 127.08, Boulder County,756,81,0.107142857,2013
080130127091,15000US080130127091,Block Group 1, Census Tract 127.09, Boulder County,1830,165,0.090163934,2013
080130127101,15000US080130127101,Block Group 1, Census Tract 127.10, Boulder County,386,66,0.170984456,2013
080130127102,15000US080130127102,Block Group 2, Census Tract 127.10, Boulder County,1878,269,0.143237487,2013
080130127103,15000US080130127103,Block Group 3, Census Tract 127.10, Boulder County,1414,181,0.128005658,2013
080130128001,15000US080130128001,Block Group 1, Census Tract 128, Boulder County,1541,159,0.103179753,2013
080130128002,15000US080130128002,Block Group 2, Census Tract 128, Boulder County,2174,361,0.166053358,2013
080130128003,15000US080130128003,Block Group 3, Census Tract 128, Boulder County,3710,474,0.127762803,2013
080130128004,15000US080130128004,Block Group 4, Census Tract 128, Boulder County,1615,228,0.141176471,2013
080130128005,15000US080130128005,Block Group 5, Census Tract 128, Boulder County,2060,246,0.119417476,2013
080130129031,15000US080130129031,Block Group 1, Census Tract 129.03, Boulder County,2109,246,0.116642959,2013
080130129041,15000US080130129041,Block Group 1, Census Tract 129.04, Boulder County,2158,296,0.137164041,2013
080130129042,15000US080130129042,Block Group 2, Census Tract 129.04, Boulder County,3446,490,0.142193848,2013
080130129051,15000US080130129051,Block Group 1, Census Tract 129.05, Boulder County,1751,417,0.238149629,2013
080130129052,15000US080130129052,Block Group 2, Census Tract 129.05, Boulder County,867,137,0.158016148,2013
080130129071,15000US080130129071,Block Group 1, Census Tract 129.07, Boulder County,1741,329,0.188971855,2013
080130129072,15000US080130129072,Block Group 2, Census Tract 129.07, Boulder County,1163,248,0.213241617,2013
080130130031,15000US080130130031,Block Group 1, Census Tract 130.03, Boulder County,1656,225,0.135869565,2013
080130130032,15000US080130130032,Block Group 2, Census Tract 130.03, Boulder County,364,16,0.043956044,2013
080130130033,15000US080130130033,Block Group 3, Census Tract 130.03, Boulder County,723,65,0.089903181,2013
080130130034,15000US080130130034,Block Group 4, Census Tract 130.03, Boulder County,2764,782,0.2829233,2013
080130130041,15000US080130130041,Block Group 1, Census Tract 130.04, Boulder County,1266,128,0.101105845,2013
080130130042,15000US080130130042,Block Group 2, Census Tract 130.04, Boulder County,2378,357,0.150126156,2013
080130130051,15000US080130130051,Block Group 1, Census Tract 130.05, Boulder County,1385,354,0.255595668,2013
080130130052,15000US080130130052,Block Group 2, Census Tract 130.05, Boulder County,1831,266,0.145275806,2013
080130130061,15000US080130130061,Block Group 1, Census Tract 130.06, Boulder County,1271,176,0.138473643,2013
080130130062,15000US080130130062,Block Group 2, Census Tract 130.06, Boulder County,1108,237,0.213898917,2013
080130130063,15000US080130130063,Block Group 3, Census Tract 130.06, Boulder County,2631,510,0.193842645,2013
080130132011,15000US080130132011,Block Group 1, Census Tract 132.01, Boulder County,1597,159,0.099561678,2013
080130132021,15000US080130132021,Block Group 1, Census Tract 132.02, Boulder County,646,38,0.058823529,2013
080130132022,15000US080130132022,Block Group 2, Census Tract 132.02, Boulder County,836,70,0.083732057,2013
080130132051,15000US080130132051,Block Group 1, Census Tract 132.05, Boulder County,1296,195,0.150462963,2013
080130132052,15000US080130132052,Block Group 2, Census Tract 132.05, Boulder County,3318,250,0.075346594,2013
080130132053,15000US080130132053,Block Group 3, Census Tract 132.05, Boulder County,762,39,0.051181102,2013
080130132071,15000US080130132071,Block Group 1, Census Tract 132.07, Boulder County,1940,408,0.210309278,2013
080130132072,15000US080130132072,Block Group 2, Census Tract 132.07, Boulder County,755,506,0.670198675,2013
080130132073,15000US080130132073,Block Group 3, Census Tract 132.07, Boulder County,1632,209,0.128063725,2013
080130132081,15000US080130132081,Block Group 1, Census Tract 132.08, Boulder County,2160,239,0.110648148,2013
080130132082,15000US080130132082,Block Group 2, Census Tract 132.08, Boulder County,850,149,0.175294118,2013
080130132083,15000US080130132083,Block Group 3, Census Tract 132.08, Boulder County,2014,397,0.197120159,2013
080130132101,15000US080130132101,Block Group 1, Census Tract 132.10, Boulder County,1830,556,0.303825137,2013
080130132102,15000US080130132102,Block Group 2, Census Tract 132.10, Boulder County,1643,369,0.224589166,2013
080130132103,15000US080130132103,Block Group 3, Census Tract 132.10, Boulder County,1498,294,0.196261682,2013
080130132111,15000US080130132111,Block Group 1, Census Tract 132.11, Boulder County,2778,357,0.128509719,2013
080130132112,15000US080130132112,Block Group 2, Census Tract 132.11, Boulder County,2079,468,0.225108225,2013
080130132113,15000US080130132113,Block Group 3, Census Tract 132.11, Boulder County,1229,201,0.1635476,2013
080130132121,15000US080130132121,Block Group 1, Census Tract 132.12, Boulder County,617,0,0,2013
080130132122,15000US080130132122,Block Group 2, Census Tract 132.12, Boulder County,1959,108,0.055130168,2013
080130132123,15000US080130132123,Block Group 3, Census Tract 132.12, Boulder County,2158,567,0.262743281,2013
080130132131,15000US080130132131,Block Group 1, Census Tract 132.13, Boulder County,2480,383,0.154435484,2013
080130132132,15000US080130132132,Block Group 2, Census Tract 132.13, Boulder County,3577,960,0.268381325,2013
080130132133,15000US080130132133,Block Group 3, Census Tract 132.13, Boulder County,1295,207,0.15984556,2013
080130133021,15000US080130133021,Block Group 1, Census Tract 133.02, Boulder County,855,145,0.169590643,2013
080130133022,15000US080130133022,Block Group 2, Census Tract 133.02, Boulder County,834,171,0.205035971,2013
080130133023,15000US080130133023,Block Group 3, Census Tract 133.02, Boulder County,982,174,0.177189409,2013
080130133024,15000US080130133024,Block Group 4, Census Tract 133.02, Boulder County,697,87,0.12482066,2013
080130133025,15000US080130133025,Block Group 5, Census Tract 133.02, Boulder County,1386,332,0.23953824,2013
080130133051,15000US080130133051,Block Group 1, Census Tract 133.05, Boulder County,1368,264,0.192982456,2013
080130133052,15000US080130133052,Block Group 2, Census Tract 133.05, Boulder County,1910,494,0.258638743,2013
080130133053,15000US080130133053,Block Group 3, Census Tract 133.05, Boulder County,1223,402,0.328699918,2013
080130133061,15000US080130133061,Block Group 1, Census Tract 133.06, Boulder County,2328,623,0.267611684,2013
080130133062,15000US080130133062,Block Group 2, Census Tract 133.06, Boulder County,2555,655,0.256360078,2013
080130133071,15000US080130133071,Block Group 1, Census Tract 133.07, Boulder County,1676,340,0.202863962,2013
080130133072,15000US080130133072,Block Group 2, Census Tract 133.07, Boulder County,1620,413,0.254938272,2013
080130133081,15000US080130133081,Block Group 1, Census Tract 133.08, Boulder County,615,162,0.263414634,2013
080130133082,15000US080130133082,Block Group 2, Census Tract 133.08, Boulder County,2182,549,0.251604033,2013
080130133083,15000US080130133083,Block Group 3, Census Tract 133.08, Boulder County,636,168,0.264150943,2013
080130134011,15000US080130134011,Block Group 1, Census Tract 134.01, Boulder County,1177,319,0.271028037,2013
080130134012,15000US080130134012,Block Group 2, Census Tract 134.01, Boulder County,713,177,0.248246844,2013
080130134013,15000US080130134013,Block Group 3, Census Tract 134.01, Boulder County,1411,431,0.305457123,2013
